fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
12103,Pinellas County,FL,53.0,4.0,0.0,2.0,16.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,12.0,2.0,8.0
12111,St. Lucie County,FL,7.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12113,Santa Rosa County,FL,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
13053,Chattahoochee County,GA,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13077,Coweta County,GA,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
13089,DeKalb County,GA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13095,Dougherty County,GA,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
13099,Early County,GA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13115,Floyd County,GA,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
13121,Fulton County,GA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
13139,Hall County,GA,60.0,6.0,0.0,3.0,8.0,2.0,2.0,0.0,1.0,0.0,2.0,16.0,5.0,0.0,15.0
13185,Lowndes County,GA,251.0,42.0,0.0,17.0,23.0,5.0,0.0,12.0,26.0,6.0,12.0,71.0,27.0,5.0,5.0
13215,Muscogee County,GA,140.0,17.0,0.0,9.0,9.0,5.0,0.0,3.0,1.0,7.0,2.0,19.0,65.0,2.0,1.0
13245,Richmond County,GA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13275,Thomas County,GA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13285,Troup County,GA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17031,Cook County,IL,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17167,Sangamon County,IL,8.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
19111,Lee County,IA,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
